strain,name,accession,date,region,location,authors,sample_type,reads_or_assemblies
AR2,SS14,SRR3268682,2013-XX-XX,S.America,argentina,Arora_2016,clinical acquired,reads
AU15,SS14,SRR3268722,2013-XX-XX,Europe,austria,Arora_2016,clinical acquired,reads
AU16,SS14,SRR3268723,2013-XX-XX,Europe,austria,Arora_2016,clinical acquired,reads
CZ27,SS14,SRR3268685,2012-XX-XX,Europe,czech republic,Arora_2016,clinical congenital,reads
NE17,SS14,SRR3268707,2013-XX-XX,Europe,netherlands,Arora_2016,clinical acquired,reads
SW6,SS14,SRR3268732,2012-XX-XX,Europe,switzerland,Arora_2016,clinical acquired,reads
SW8,SS14,SRR3268736,2012-XX-XX,Europe,switzerland,Arora_2016,clinical acquired,reads
UW249B,SS14,SRR3268758,2004-XX-XX,N.America,usa,Arora_2016,rabbit inoculation,reads
NL09,SS14,ERR2710610,2016-XX-XX,Europe,uk,Beale_2019_Global_TPA,Clinical_Swab,reads
NL10,SS14,ERR2710611,2016-XX-XX,Europe,uk,Beale_2019_Global_TPA,Clinical_Swab,reads
NL11,SS14,ERR2710612,2016-XX-XX,Europe,uk,Beale_2019_Global_TPA,Clinical_Swab,reads
NL13,SS14,ERR2710614,2016-XX-XX,Europe,uk,Beale_2019_Global_TPA,Clinical_Swab,reads
NL16,SS14,ERR2710617,2016-XX-XX,Europe,uk,Beale_2019_Global_TPA,Clinical_Swab,reads
UW074B,SS14,ERR2756195,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW093B,SS14,ERR2756214,2001-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW099B,SS14,ERR2756175,2001-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW102B,SS14,ERR2756194,2002-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW104B,SS14,ERR2756229,2002-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW116B,SS14,ERR2756171,2002-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW125B,SS14,ERR2756198,2002-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW126B,SS14,ERR2756207,2002-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW133B,SS14,ERR2756188,2002-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW134B,SS14,ERR2756219,2002-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW138B,SS14,ERR2756201,2002-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW140B,SS14,ERR2756185,2002-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW147B,SS14,ERR2756200,2003-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW148B,SS14,ERR2756203,2003-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW149B,SS14,ERR2756227,2003-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW155B,SS14,ERR2756221,2003-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW181B,SS14,ERR2756202,2003-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW186B,SS14,ERR2756186,2003-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW187B,SS14,ERR2756192,2003-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW195B,SS14,ERR2756223,2003-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW211B,SS14,ERR2756212,2003-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW213B,SS14,ERR2756205,2003-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW215B,SS14,ERR2756213,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW228B,SS14,ERR2756193,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW231B,SS14,ERR2756210,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW244B,SS14,ERR2756217,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW248B,SS14,ERR2756178,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW254B,SS14,ERR2756190,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW257B,SS14,ERR2756182,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW259B,SS14,ERR2756218,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW262B,SS14,ERR2756172,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW264B,SS14,ERR2756226,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW280B,SS14,ERR2756222,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW281B,SS14,ERR2756211,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW291B,SS14,ERR2756176,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW298B,SS14,ERR2756168,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW303B,SS14,ERR2756228,2005-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW304B,SS14,ERR2756224,2005-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW327B,SS14,ERR2756225,2005-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW330B,SS14,ERR2756199,2005-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW337B,SS14,ERR2756173,2005-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW344B,SS14,ERR2756189,2005-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW368B,SS14,ERR2756196,2005-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW370B,SS14,ERR2756169,2005-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW376B,SS14,ERR2756177,2005-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW379B,SS14,ERR2756206,2005-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW383B,SS14,ERR2756208,2005-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW391B,SS14,ERR2756174,2005-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW397B,SS14,ERR2756181,2006-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
